Concept,Notes
The Mongol Empire under Genghis Khan was the largest contiguous land empire; Pax Mongolica enabled trade along Silk Road; also spread plague.,Mongol Empire: Genghis Khan; largest contiguous land empire; Pax Mongolica + Silk Road trade; spread plague
The Haitian Revolution (1791–1804): enslaved people overthrew French colonial rule; only successful slave revolt creating a state; inspired Latin American independence.,Haitian Revolution 1791–1804: enslaved → overthrew French; only successful slave revolt state; inspired Latin Am. independence
"The Cold War's domino theory: belief that communism spreading in one country would trigger spread to neighbors; justified US intervention in Korea, Vietnam, Latin America.",domino theory: communism spreads to neighbors; justified US intervention Korea/Vietnam/Latin Am.
The Partition of India (1947): Britain divided British India into India and Pakistan based on religious demographics; caused ~15M displaced and ~1M dead.,"Partition of India 1947: India + Pakistan along religious lines; ~15M displaced, ~1M dead"
Apartheid in South Africa (1948–1994): institutionalized racial segregation; dismantled after international sanctions and ANC pressure; Mandela became president 1994.,apartheid 1948–94: racial segregation institutionalized; ended via sanctions + ANC; Mandela 1994
The Space Race: USSR launched Sputnik 1957 (first satellite) and Gagarin 1961 (first human in space); US landed Apollo 11 on Moon (1969).,Space Race: USSR: Sputnik 1957 + Gagarin 1961; US: Apollo 11 Moon landing 1969
Regularization prevents overfitting: L1 (Lasso) adds |w| penalty → sparse weights; L2 (Ridge) adds w² penalty → small weights; L1 useful for feature selection.,regularization: L1 (Lasso) = |w| → sparsity; L2 (Ridge) = w² → small weights; L1 for feature selection
The softmax function converts logits to probabilities: σ(zᵢ) = e^zᵢ / Σe^zⱼ; outputs sum to 1; numerically stable via subtracting max.,softmax: σ(zᵢ) = e^zᵢ/Σe^zⱼ; outputs sum to 1; numerical stability: subtract max before exp
"K-means clustering: assign points to nearest centroid, recompute centroids, repeat until convergence; k is a hyperparameter; sensitive to initialization.",k-means: assign → nearest centroid; recompute centroid; repeat; k = hyperparameter; init-sensitive
Support vector machines find the maximum-margin hyperplane; support vectors are the closest points; kernel trick maps data to higher dimensions for nonlinear separation.,SVM: max-margin hyperplane; support vectors = closest points; kernel trick → nonlinear via high-dim mapping
Principal component analysis (PCA): orthogonal transformation to uncorrelated components ordered by variance explained; dimensionality reduction preserving most variance.,PCA: orthogonal transform → uncorrelated components by variance; dimensionality reduction
"Overfitting: model memorizes training data, fails to generalize; detected by train-val loss divergence; fixes: regularization, dropout, more data, early stopping.",overfitting: memorize train data → poor generalization; detect: train-val divergence; fix: regularization/dropout/data/early stop
Recurrent neural networks process sequences via hidden state h_t = f(W·h_{t-1} + U·x_t); suffer from vanishing gradients for long sequences; LSTMs address this.,RNN: h_t = f(W·h_{t-1}+U·x_t); sequential; vanishing gradient for long seqs; LSTM = fix
"LSTM cells: input gate, forget gate, output gate, cell state; gates regulate information flow; cell state carries long-range memory; forget gate clears irrelevant info.",LSTM: input/forget/output gates + cell state; gates regulate flow; cell state = long-range memory
The encoder in a seq2seq model compresses input sequence into context vector (hidden state); single vector bottleneck limits performance for long sequences.,seq2seq encoder: input → context vector (hidden state); single-vector bottleneck = long-seq limitation
Attention mechanism solves the bottleneck: decoder attends to all encoder hidden states weighted by relevance; score = alignment function of decoder state + encoder state.,"attention: decoder attends all encoder states; score = alignment(decoder state, encoder state); no bottleneck"
Word2Vec: skip-gram predicts context from word; CBOW predicts word from context; learns dense word embeddings capturing semantic similarity.,word2vec: skip-gram = context from word; CBOW = word from context; learns semantic embeddings
GloVe embeddings: trained on word co-occurrence matrix; captures global statistical structure; performs well on analogy tasks (king − man + woman ≈ queen).,GloVe: co-occurrence matrix → embeddings; global stats; analogy: king−man+woman≈queen
BERT: bidirectional transformer pretrained on masked language modeling (MLM) and next sentence prediction (NSP); fine-tuned on downstream tasks.,BERT: bidirectional transformer; pretrain = MLM + NSP; fine-tune → downstream tasks
GPT architecture: decoder-only transformer; causal (left-to-right) attention; autoregressive pretraining on next-token prediction; few-shot prompting emergent at scale.,GPT: decoder-only; causal attention; pretrain = next-token prediction; few-shot prompting at scale
"Tokenization strategies: character-level (simple, large seqs), word-level (large vocab, OOV), subword BPE/WordPiece (balance); most modern LLMs use BPE/tiktoken.","tokenization: char (simple/long), word (large vocab/OOV), subword BPE (balance); modern LLMs = BPE/tiktoken"
"The learning rate warmup prevents early training instability: during warmup, lr increases linearly from ε to target; transformers typically use 4000 warmup steps.",lr warmup: linear increase ε → target lr; prevents early instability; transformers ~4000 steps
Perplexity measures language model quality: PP = exp(avg cross-entropy loss); lower = better; equivalent to average branching factor of model predictions.,perplexity: PP = exp(avg CE loss); lower = better; avg branching factor of predictions
"Data augmentation for NLP: back-translation, synonym replacement, random insertion/deletion/swap; increases effective dataset size and model robustness.","NLP data augmentation: back-translation, synonym swap, random insert/delete; ↑ dataset size + robustness"
The encoder's multi-head self-attention allows every token to attend to every other token; enables capturing long-range dependencies in O(n²) time.,encoder self-attn: every token ↔ every other token; long-range dependencies; O(n²)
"Seq2seq with teacher forcing: during training, feed ground-truth target tokens as decoder input (not model's previous output); faster convergence, exposure bias issue.",teacher forcing: feed ground-truth tokens to decoder during training; faster convergence; exposure bias trade-off
Hypothesis testing: null hypothesis H₀ (no effect); reject if p-value < α; Type I error = false rejection; Type II = false acceptance; power = 1 − β.,hypothesis testing: reject H₀ if p < α; Type I = false reject; Type II = false accept; power = 1−β
The bootstrap method: resample with replacement from dataset B times; compute statistic each time; distribution approximates sampling distribution; no distributional assumptions.,bootstrap: resample w/ replacement B times; compute stat → sampling distribution; no distributional assumption
"Confidence intervals: a 95% CI means that if we repeated the experiment many times, 95% of intervals would contain the true parameter.",95% CI: 95% of repeated-experiment intervals contain true parameter; NOT 95% prob parameter in interval
ANOVA (analysis of variance): tests whether means of 3+ groups differ; F-statistic = between-group variance / within-group variance; p < α → at least one group differs.,ANOVA: test 3+ group means; F = between-group var / within-group var; p<α → at least one group differs
"Linear regression assumptions (GAUSS-MARKOV): linearity, independence, homoscedasticity, normality of residuals; violation → biased/inefficient estimates.",linear regression (Gauss-Markov): linearity + independence + homoscedasticity + normal residuals; violation → biased estimates
Regularized regression: Ridge adds L2 penalty → shrinks coefficients; Lasso adds L1 → sparse solution (feature selection); Elastic Net combines both.,regularized regression: Ridge (L2) = shrink; Lasso (L1) = sparse/select; Elastic Net = L1+L2
Logistic regression models probability via sigmoid: P(y=1|x) = 1/(1+e^(−w·x)); trained via maximum likelihood; log-odds linear in features.,logistic regression: P(y=1|x) = sigmoid(w·x); MLE training; log-odds linear in features
Survival analysis: models time-to-event data; Kaplan-Meier estimator; Cox proportional hazard model: h(t) = h₀(t)·exp(βx); hazard ratio interpretation.,survival analysis: time-to-event; Kaplan-Meier estimator; Cox: h(t)=h₀(t)·exp(βx); hazard ratio
Correlation ≠ causation: spurious correlations arise from confounders; randomized controlled trials (RCTs) establish causality by controlling confounders.,correlation ≠ causation; confounders create spurious correlations; RCTs establish causality via confounder control
"The Bonferroni correction: for m simultaneous tests, use α/m as threshold; controls family-wise error rate; conservative when tests are correlated.",Bonferroni: multiple testing correction; use α/m; controls FWER; conservative w/ correlated tests
Alternative splicing allows one gene to produce multiple protein isoforms; regulated by exonic/intronic splicing enhancers/silencers and SR proteins.,alternative splicing: one gene → multiple isoforms; regulated by ESEs/ISEs/ESS/ISS + SR proteins
"The unfolded protein response (UPR): ER stress (misfolded proteins) triggers ATF6, IRE1, PERK pathways; reduces protein synthesis, increases chaperones, triggers apoptosis if unresolved.","UPR: ER stress → ATF6/IRE1/PERK; ↓ translation, ↑ chaperones; unresolved → apoptosis"
piRNA (Piwi-interacting RNA): small non-coding RNAs that silence transposons in germline cells; partner with PIWI proteins; protect genome integrity.,piRNA: silence transposons in germline; partner with PIWI proteins; protect genome integrity
"The nucleosome: 147 bp DNA wrapped ~1.65× around histone octamer (H2A, H2B, H3, H4 ×2); ~10 nm fiber; H1 linker histone compacts into 30 nm fiber.",nucleosome: 147 bp DNA + histone octamer (H2A/H2B/H3/H4 ×2); H1 linker → 30 nm fiber
"Chromatin remodeling complexes (SWI/SNF, NuRD) use ATP to reposition, eject, or restructure nucleosomes, regulating gene accessibility.","chromatin remodeling: SWI/SNF, NuRD; ATP-dependent repositioning/ejection of nucleosomes → regulate gene access"
"Liquid-liquid phase separation: intrinsically disordered regions of proteins form membraneless organelles (stress granules, nucleolus) via weak multivalent interactions.","LLPS: disordered protein regions → membraneless organelles (stress granules, nucleolus); weak multivalent interactions"
"m6A RNA methylation: most abundant internal mRNA modification; installed by METTL3/14 (writers), removed by FTO/ALKBH5 (erasers), read by YTHDF proteins.",m6A: most abundant mRNA modification; METTL3/14 = writers; FTO/ALKBH5 = erasers; YTHDF = readers
"Cyclin-CDK complexes drive cell cycle progression: Cyclin D-CDK4/6 (G1), Cyclin E-CDK2 (G1/S), Cyclin A-CDK2 (S), Cyclin B-CDK1 (M); Rb phosphorylation = G1 checkpoint.",cyclin-CDK: D-CDK4/6 (G1) → E-CDK2 (G1/S) → A-CDK2 (S) → B-CDK1 (M); Rb-P = G1 checkpoint
The Notch pathway: Notch receptor cleaved by γ-secretase upon DLL/Jagged ligand binding → NICD enters nucleus → activates Hes/Hey target genes; regulates cell fate.,Notch: DLL/Jagged ligand → γ-secretase cleaves → NICD → nucleus → Hes/Hey transcription; cell fate
Ferroptosis: iron-dependent cell death via lipid peroxidation; distinct from apoptosis; driven by GPX4 inhibition; potential cancer therapy target.,ferroptosis: iron-dependent cell death; lipid peroxidation; GPX4 inhibition → death; distinct from apoptosis; cancer target
"Cortical columns are vertical units of functionally related neurons; in V1, orientation columns respond to specific edge orientations; ocular dominance columns.",cortical columns: vertical functional units; V1 = orientation columns + ocular dominance columns
"Default mode network (DMN): active at rest, deactivated during tasks; involved in self-referential thought, mind-wandering, autobiographical memory; nodes: mPFC, PCC, hippocampus.","DMN: active at rest, deactivated during tasks; self-reference/mind-wandering; mPFC + PCC + hippocampus"
"Adult neurogenesis occurs in the hippocampal dentate gyrus and olfactory bulb; new neurons integrate into circuits; impaired in depression, enhanced by exercise.",adult neurogenesis: dentate gyrus + olfactory bulb; impaired in depression; enhanced by exercise
Dopamine hypothesis of schizophrenia: excess D2 receptor activity in mesolimbic pathway → positive symptoms; hypodopaminergia in PFC → negative/cognitive symptoms.,schizophrenia DA hypothesis: excess D2 mesolimbic → positive symptoms; hypo-DA PFC → negative/cognitive symptoms
"Synaptic plasticity rules: Hebbian (correlated activity → potentiation), STDP (spike timing dependent: pre-before-post → LTP; post-before-pre → LTD).",synaptic plasticity: Hebbian (correlated → potentiate); STDP: pre→post = LTP; post→pre = LTD
The basal ganglia direct pathway (D1 receptors): cortex → striatum → GPi/SNr inhibition → thalamus disinhibited → cortex activated; facilitates movement.,BG direct pathway: cortex → striatum (D1) → GPi/SNr inhibited → thalamus disinhibited → movement facilitated
"Cerebrospinal fluid (CSF) is produced by choroid plexus, circulates through ventricles and subarachnoid space, and drains via arachnoid villi into venous sinuses.",CSF: produced by choroid plexus; circulates ventricles + subarachnoid space; drains via arachnoid villi
"The hypothalamus regulates: temperature (anterior = cooling, posterior = heating), hunger (lateral = hunger, ventromedial = satiety), thirst, circadian rhythms, endocrine output via pituitary.","hypothalamus: temp (anterior=cool, posterior=heat); hunger (lateral) + satiety (VMH); thirst; circadian; pituitary control"
Myelination by oligodendrocytes (CNS) and Schwann cells (PNS) insulates axons; saltatory conduction jumps between Nodes of Ranvier; increases conduction velocity.,myelination: oligodendrocytes (CNS) + Schwann (PNS); saltatory conduction at Nodes of Ranvier; velocity ↑
Sleep stages: NREM stages 1-3 (deepening) + REM; slow-wave sleep (N3) crucial for declarative memory consolidation; REM for procedural/emotional memory.,sleep: NREM 1-3 + REM; N3 (slow-wave) = declarative memory; REM = procedural/emotional memory
"Ricardian equivalence: consumers anticipate future taxes to pay for current deficits and increase savings, offsetting fiscal stimulus; disputed empirically.",Ricardian equivalence: consumers save for future taxes → offsets fiscal stimulus; empirically disputed
The natural rate of unemployment: consists of frictional (job searching) + structural (skill mismatch) unemployment; cyclical unemployment is the gap from natural rate.,natural unemployment: frictional (job search) + structural (skill mismatch); cyclical = gap from natural rate
"Exchange rate determinants: purchasing power parity (PPP), interest rate differentials (UIP), current account balance, capital flows, and market sentiment.",exchange rate drivers: PPP + interest differentials (UIP) + current account + capital flows + sentiment
"Central bank credibility and inflation targeting: if CB commits credibly to low inflation, inflation expectations anchor; reduces sacrifice ratio for disinflation.",CB credibility: credible low inflation target → anchored expectations → lower sacrifice ratio for disinflation
The Ramsey growth model: optimizing households choose consumption path to maximize lifetime utility; saddle-path equilibrium; golden rule of capital accumulation.,Ramsey model: households maximize lifetime utility; saddle-path equilibrium; golden rule of capital
Tobin's Q: ratio of market value of capital to its replacement cost; Q>1 → invest; Q<1 → don't invest; links financial markets to real investment.,Tobin's Q: market value / replacement cost; Q>1 → invest; Q<1 → don't; links finance ↔ real investment
The Balassa-Samuelson effect: productivity growth in tradable sector → wage ↑ → non-tradable prices ↑ → overall inflation higher in fast-growing economies.,Balassa-Samuelson: tradable productivity ↑ → wages ↑ → non-tradable prices ↑ → inflation ↑ in fast-growing economies
Signaling theory (Spence): workers invest in education not just for human capital but to signal ability to employers; equilibrium can be separating or pooling.,Spence signaling: education signals ability (not just human capital); separating vs. pooling equilibrium
"The business judgment rule: courts defer to corporate directors' decisions if made in good faith, on an informed basis, and in the honest belief of acting in company's best interest.",business judgment rule: court defers to directors if good faith + informed + honest belief in company interest
Piercing the corporate veil: courts disregard corporate entity to hold shareholders liable when used as alter ego or to perpetuate fraud; requires undercapitalization + control.,pierce corporate veil: shareholder liable if corp = alter ego or fraud; requires undercapitalization + control
The Chevron doctrine: courts defer to agency interpretation of ambiguous statutes if the agency's interpretation is reasonable (step 1 = ambiguity; step 2 = reasonableness).,Chevron deference: step 1 = statute ambiguous?; step 2 = agency interpretation reasonable? → defer
The exclusionary rule: evidence obtained in violation of the Fourth Amendment is inadmissible; exceptions include good faith reliance on a warrant and inevitable discovery.,exclusionary rule: 4th Amend violation → evidence inadmissible; exceptions: good faith warrant + inevitable discovery
Promissory note vs. bond: promissory note is a personal promise to repay; bond is a formal debt instrument issued to multiple investors; both are negotiable instruments under UCC.,promissory note = personal repayment promise; bond = formal multi-investor debt; both = UCC negotiable instruments
"Herd immunity threshold: T = 1 − 1/R₀; for measles (R₀≈15), ~93% population immunity needed; can be achieved via vaccination or natural infection.",herd immunity: T = 1−1/R₀; measles R₀≈15 → ~93% immunity needed; via vaccine or natural infection
Number needed to treat (NNT): reciprocal of absolute risk reduction; NNT=1 = perfect treatment; NNT=100 = treat 100 to prevent 1 event; compare vs. NNH.,NNT = 1/ARR; NNT=1 = ideal; NNT=100 → treat 100 to prevent 1 event; compare with NNH
"The Bradford Hill criteria for causation: strength, consistency, specificity, temporality (required), biological gradient, plausibility, coherence, experiment, analogy.",Bradford Hill causation: strength + consistency + specificity + temporality (required) + gradient + plausibility + coherence
Sensitivity vs. specificity: sensitivity = TP/(TP+FN) = ability to detect disease; specificity = TN/(TN+FP) = ability to rule out; trade-off at different thresholds.,sensitivity = TP/(TP+FN) = detect disease; specificity = TN/(TN+FP) = rule out; trade-off by threshold
Recall bias in case-control studies: cases more likely to recall exposures than controls; leads to overestimation of association; minimized by objective exposure measurement.,recall bias: cases over-report exposure vs. controls → overestimates association; fix: objective exposure measurement
"The nitrogen cycle: N₂ fixation (Rhizobium), nitrification (NH₄⁺ → NO₂⁻ → NO₃⁻), denitrification (NO₃⁻ → N₂), assimilation (plants); disrupted by synthetic fertilizers.",N cycle: N₂ fixation (Rhizobium) → nitrification → denitrification → N₂; synthetic fertilizers disrupt
Bioaccumulation: toxins accumulate in organisms faster than eliminated; biomagnification = concentration increases up trophic levels (DDT in birds of prey).,bioaccumulation: toxin accumulates faster than cleared; biomagnification = ↑ conc up trophic levels; DDT in raptors
The IPCC AR6 (2021): global surface temp 1.1°C above pre-industrial; ~1.5°C likely by 2030s; irreversible changes likely above 2°C; rapid emission cuts needed.,IPCC AR6 2021: +1.1°C above pre-industrial; ~1.5°C by 2030s; irreversible above 2°C; rapid cuts needed
"Ecosystem services: provisioning (food, water), regulating (climate, pollination), cultural (recreation, aesthetic), supporting (nutrient cycling, soil formation).",ecosystem services: provisioning (food/water) + regulating (climate/pollination) + cultural (recreation) + supporting (nutrient cycling)
"Carbon sequestration: forests, wetlands, soils, and ocean absorb CO₂; blue carbon (mangroves, seagrasses) especially efficient; threatened by deforestation.",carbon sequestration: forests/wetlands/soils/ocean absorb CO₂; blue carbon (mangroves/seagrasses) efficient; deforestation threat
"The Byzantine fault tolerance problem: in a distributed system with n nodes, the system can tolerate up to ⌊(n−1)/3⌋ malicious (Byzantine) nodes.","Byzantine fault tolerance: n nodes tolerate ⌊(n−1)/3⌋ malicious nodes; e.g., n=4 tolerates 1"
Consistent hashing: maps keys and nodes to a ring; key assigned to first node clockwise; adding/removing nodes only remaps adjacent keys; minimizes remapping.,consistent hashing: keys + nodes on ring; key → first clockwise node; add/remove → minimal remapping
The MapReduce paradigm: Map function processes input key-value pairs; Reduce aggregates values by key; enables distributed computation on large datasets.,MapReduce: Map = process key-value pairs; Reduce = aggregate by key; distributed large-scale computation
"The OSI model has 7 layers: Physical, Data Link, Network (IP), Transport (TCP), Session, Presentation, Application; encapsulation adds headers at each layer.",OSI 7 layers: Physical → Data Link → Network (IP) → Transport (TCP) → Session → Presentation → Application
"Bloom filters: probabilistic data structure; test set membership; false positives possible, false negatives not; uses k hash functions and bit array; space-efficient.","Bloom filter: probabilistic membership test; false positives possible, false negatives impossible; k hash functions + bit array"
"Mutex vs. semaphore: mutex = binary lock for mutual exclusion, owned by locking thread; semaphore = signaling mechanism, can be released by any thread; semaphores used for counting.","mutex: binary, owned by locking thread; semaphore: signaling, any thread can release; semaphore = counting"
"Garbage collection strategies: reference counting (Swift/Python), mark-and-sweep (JVM), generational GC (most modern runtimes); GC pause is latency trade-off.","GC: reference counting (Swift/Python), mark-and-sweep (JVM), generational (modern); GC pause = latency cost"
"Docker vs. Kubernetes: Docker packages and runs containers on a single host; Kubernetes orchestrates containers across a cluster (scheduling, scaling, self-healing).",Docker: run containers on single host; Kubernetes: orchestrate across cluster (schedule/scale/self-heal)
"ACID properties for databases: Atomicity (all or nothing), Consistency (valid state), Isolation (concurrent transactions don't interfere), Durability (committed data persists).",ACID: Atomicity (all-or-nothing) + Consistency (valid) + Isolation (no interference) + Durability (persists)
"The two-phase commit protocol (2PC): coordinator asks all nodes to prepare; if all agree, coordinator sends commit; if any fail, coordinator sends abort; blocking on coordinator failure.",2PC: prepare phase → all agree → commit; any fail → abort; blocks on coordinator failure
"The Flynn effect: average IQ scores rose ~3 points per decade throughout the 20th century; attributed to improved nutrition, education, and reduced disease burden.",Flynn effect: IQ ↑ ~3 pts/decade in 20th c.; causes: nutrition + education + ↓ disease
"Replication crisis in science: many published findings (especially psychology, medicine) fail to replicate; causes: p-hacking, HARKing, publication bias, small samples.",replication crisis: findings fail to replicate; causes: p-hacking + HARKing + publication bias + small n
The Matthew effect in science: citations beget citations; highly cited papers accumulate more citations; early career researchers disadvantaged; winner-take-all dynamics.,Matthew effect in science: cited papers → more citations; early-career disadvantaged; winner-take-all
"The CRISPR-Cas system has been adapted for diagnostics (SHERLOCK, DETECTR): guide RNA directs Cas13/Cas12 to target nucleic acid → reporter cleavage → detectable signal.",CRISPR diagnostics: SHERLOCK (Cas13)/DETECTR (Cas12); guide RNA → target → reporter cleavage → signal
"The reproducibility spectrum: computational reproducibility (same code/data → same result), replicability (new data + same method), generalizability (new context).",reproducibility spectrum: computational (same code/data) → replicability (new data) → generalizability (new context)
"Exosome biogenesis: multivesicular bodies (MVBs) form by inward budding; MVBs fuse with plasma membrane → exosomes released; carry proteins, miRNA, mRNA.",exosomes: MVB inward budding → plasma membrane fusion → release; carry proteins + miRNA + mRNA
"The exposome: the totality of environmental exposures from conception to death; complements genome in explaining disease; includes diet, pollutants, stress, microbiome.",exposome: all environmental exposures conception→death; complements genome; diet + pollutants + stress + microbiome
Optogenetics: light-sensitive opsins (channelrhodopsin = activating; halorhodopsin = inhibiting) expressed in neurons; millisecond-precise control of neural circuits with light.,optogenetics: channelrhodopsin (activate) + halorhodopsin (inhibit) expressed in neurons; light → ms-precise circuit control
The placebo-nocebo asymmetry: positive expectation → therapeutic benefit (placebo); negative expectation → harm (nocebo); both mediated by learning and endogenous systems.,placebo: positive expectation → benefit; nocebo: negative expectation → harm; both = expectation + endogenous systems
"The developmental origins of health and disease (DOHaD): fetal programming by maternal nutrition/stress shapes metabolic, immune, and neural outcomes in offspring.",DOHaD: fetal programming via maternal nutrition/stress → metabolic/immune/neural outcomes in offspring
The masked language model (MLM) objective: randomly mask 15% of tokens; model predicts masked tokens; enables bidirectional context learning (BERT).,MLM: mask 15% tokens → predict masked; enables bidirectional context; BERT pretraining
"Subword tokenization reduces OOV problem: rare words split into known subwords; e.g., 'tokenization' → 'token', '##ization'; vocabulary typically 30K-50K tokens.","subword tokenization: rare words → subwords; eliminates OOV; vocab 30K-50K; e.g., 'token'+'##ization'"
Temperature in text generation: divides logits before softmax; T>1 = more random/creative; T<1 = more deterministic/focused; T→0 = argmax (greedy).,temperature: logits/T before softmax; T>1 = random; T<1 = deterministic; T→0 = greedy/argmax
Top-k sampling: keep only top k tokens at each step; top-p (nucleus) sampling: keep smallest set whose cumulative prob ≥ p; top-p adapts vocabulary size dynamically.,top-k: keep k tokens/step; top-p (nucleus): cumulative prob ≥ p; top-p = dynamic k; both prevent low-prob sampling
"The cross-attention sublayer in the decoder: Q comes from decoder, K and V come from encoder output; allows decoder to selectively attend to relevant encoder states.","cross-attention: Q=decoder, K/V=encoder output; decoder selectively attends encoder; core seq2seq mechanism"
Layer normalization: normalizes across feature dimension (not batch); stable for small batches; Pre-LN (before attention) more stable than Post-LN during training.,layer norm: normalize across features; stable small batches; Pre-LN (before attn) = more stable than Post-LN
"Sparse attention (Longformer, BigBird): combines local window attention + global tokens; reduces O(n²) to O(n); handles documents up to 4096+ tokens.",sparse attention: local window + global tokens; O(n²) → O(n); handles 4096+ tokens; Longformer/BigBird
The beam search length penalty: lp(Y) = ((5+|Y|)/(5+1))^α; penalizes short sequences when α>0; prevents beam search from favoring shorter outputs.,beam search length penalty: lp = ((5+|Y|)/6)^α; α>0 penalizes short sequences; prevents short-output bias
Knowledge distillation: student model trained to match teacher's soft probability outputs (logits) rather than hard labels; smaller model inherits knowledge.,knowledge distillation: student matches teacher's soft outputs (logits); inherits knowledge; smaller/faster model
"Positional embeddings: sinusoidal (fixed, handles arbitrary lengths), learned (better on training distribution), rotary (RoPE, relative position, used in LLaMA).","positional embeddings: sinusoidal (fixed/any length), learned (train-dist), rotary RoPE (relative, LLaMA)"
"The cerebral cortex is organized into four lobes: frontal (executive, motor), parietal (somatosensory, spatial), temporal (auditory, memory), occipital (visual).",cortex: frontal (executive/motor) + parietal (somatosensory/spatial) + temporal (auditory/memory) + occipital (visual)
"Glutamate is the primary excitatory neurotransmitter; receptors: AMPA (fast), NMDA (Ca²⁺, plasticity), mGluR (modulatory); excess = excitotoxicity.",glutamate: primary excitatory NT; AMPA (fast) + NMDA (Ca²⁺/plasticity) + mGluR (modulatory); excess → excitotoxicity
"GABA is the primary inhibitory neurotransmitter; GABA_A (Cl⁻ channel, fast) and GABA_B (G-protein, slow); benzodiazepines enhance GABA_A.",GABA: primary inhibitory NT; GABA_A = Cl⁻ channel (fast); GABA_B = G-protein (slow); benzos ↑ GABA_A
"Serotonin (5-HT) modulates mood, appetite, sleep; synthesized from tryptophan; SSRIs block reuptake; 5-HT_3 receptor = ligand-gated ion channel (others = GPCRs).",serotonin (5-HT): mood/appetite/sleep; from tryptophan; SSRIs block reuptake; 5-HT_3 = LGIC; others = GPCR
"The autonomic nervous system: sympathetic (fight-or-flight, thoracolumbar, NE) vs. parasympathetic (rest-and-digest, craniosacral, ACh); dual innervation of organs.","ANS: sympathetic (fight-or-flight, thoracolumbar, NE) vs. parasympathetic (rest-digest, craniosacral, ACh)"
"Protein secondary structure: α-helix (H-bond every 4 residues, ~3.6 aa/turn) and β-sheet (parallel or antiparallel H-bonds); determined by Ramachandran plot.","protein 2° structure: α-helix (H-bond every 4 res, 3.6 aa/turn); β-sheet (parallel/antiparallel); Ramachandran plot"
Passive transport: diffusion or facilitated diffusion down concentration gradient; no energy required; rate determined by Fick's law.,passive transport: diffusion (or facilitated) down gradient; no ATP; rate = Fick's law
"Active transport: moves solutes against gradient; requires ATP; primary (direct ATP, Na/K-ATPase) vs. secondary (uses gradient created by primary, SGLT).",active transport: against gradient + ATP; primary = direct ATP (Na/K-ATPase); secondary = uses gradient (SGLT)
"The extracellular matrix (ECM): collagen (structural), fibronectin (adhesion), laminin (basement membrane), proteoglycans; scaffold for cells; signaling platform.",ECM: collagen (structure) + fibronectin (adhesion) + laminin (basement membrane) + proteoglycans; cell scaffold + signaling
"Tight junctions seal adjacent epithelial cells; claudins and occludins form strands; regulate paracellular permeability; form blood-brain barrier, gut epithelium.",tight junctions: claudins + occludins; seal epithelial cells; regulate paracellular flux; BBB + gut barrier
Gap junctions: connexin hexamers form connexons; pairs connect adjacent cells; allow ions and small molecules (<1 kDa) to pass; electrical coupling of cardiomyocytes.,gap junctions: connexin hexamers = connexons; adjacent cell coupling; ions + small molecules <1 kDa; cardiac electrical coupling
"Fatty acid β-oxidation: occurs in mitochondrial matrix; each cycle removes 2C as acetyl-CoA; produces NADH, FADH₂; 16C palmitate yields 129 ATP net.",β-oxidation: mitochondrial matrix; each cycle: −2C → acetyl-CoA + NADH + FADH₂; palmitate (16C) → 129 ATP net
"Gluconeogenesis: synthesis of glucose from non-carbohydrate precursors (lactate, amino acids, glycerol); occurs mainly in liver; bypasses irreversible glycolytic steps.",gluconeogenesis: glucose from lactate/AAs/glycerol; mainly liver; bypasses irreversible glycolysis steps
"The coagulation cascade: intrinsic (XII) and extrinsic (TF-VIIa) pathways converge at factor X; thrombin converts fibrinogen → fibrin clot; amplified by factors V, VIII.",coagulation: intrinsic (XII) + extrinsic (TF-VIIa) → factor X → thrombin → fibrinogen → fibrin; amplified by V/VIII
"Monoclonal antibodies: produced by hybridoma (myeloma + B cell fusion); single epitope specificity; therapeutic applications: rituximab (CD20), trastuzumab (HER2), pembrolizumab (PD-1).","monoclonal Ab: hybridoma = myeloma + B cell; single epitope; examples: rituximab (CD20), trastuzumab (HER2), pembrolizumab (PD-1)"
"The renin-angiotensin system is targeted by ACE inhibitors (block Ang II formation) and ARBs (block AT1 receptor); used in hypertension, heart failure, CKD.","RAAS targets: ACE inhibitors (block Ang II) + ARBs (block AT1R); indications: HTN, HF, CKD"
"Cardiac output = heart rate × stroke volume; stroke volume depends on preload (end-diastolic volume), afterload (resistance), and contractility (Frank-Starling).",CO = HR × SV; SV depends on preload (EDV) + afterload (resistance) + contractility (Frank-Starling)
"The ventilation-perfusion (V/Q) ratio: normal ~0.8; V/Q=0 (shunt, perfused but not ventilated); V/Q=∞ (dead space, ventilated but not perfused); both cause hypoxemia.",V/Q: normal ~0.8; V/Q=0 = shunt (perfused/no vent); V/Q=∞ = dead space (vent/no perf); both → hypoxemia
"The HLA system (MHC in humans): HLA-A, B, C are class I; HLA-DR, DP, DQ are class II; highly polymorphic; determines organ transplant compatibility; associated with autoimmune disease.",HLA: class I = A/B/C (all nucleated cells); class II = DR/DP/DQ (APCs); polymorphic; transplant compatibility + autoimmune disease
"Autophagy: cellular self-digestion; macroautophagy = double-membrane autophagosome engulfs cargo → lysosome fusion; mTOR suppresses, starvation activates.",autophagy: double-membrane autophagosome → lysosome; mTOR suppresses; starvation activates; macro/micro/chaperone-mediated forms
